"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"翠","U+7FE0","취",,,,,,,
"翡","U+7FE1","비",,,,,,,
"翢","U+7FE2","우",,,,,,,
"翣","U+7FE3","삽",,,,,,,
"翤","U+7FE4","시",,,,,,,
"翥","U+7FE5","저",,,,,,,
"翦","U+7FE6","전",,,,,,,
"翧","U+7FE7","선",,,,,,,
"翨","U+7FE8","시",,,,,,,
"翩","U+7FE9","편",,,,,,,
"翪","U+7FEA","종",,,,,,,
"翫","U+7FEB","완",,,,,,,
"翬","U+7FEC","휘",,,,,,,
"翭","U+7FED","후",,,,,,,
"翮","U+7FEE","핵",,,,,,,
"翯","U+7FEF","학",,,,,,,
"翰","U+7FF0","한",,,,,,,
"翱","U+7FF1","고",,,,,,,
"翲","U+7FF2","표",,,,,,,
"翳","U+7FF3","예",,,,,,,
"翴","U+7FF4","련","연",,,,,,
"翵","U+7FF5","후",,,,,,,
"翶","U+7FF6","고",,,,,,,
"翷","U+7FF7","린","인",,,,,,
"翸","U+7FF8","분",,,,,,,
"翹","U+7FF9","교",,,,,,,
"翺","U+7FFA","고",,,,,,,
"翻","U+7FFB","번",,,,,,,
"翼","U+7FFC","익",,,,,,,
"翽","U+7FFD","홰",,,,,,,
"翾","U+7FFE","현",,,,,,,
"翿","U+7FFF","도",,,,,,,
"耀","U+8000","요",,,,,,,
"老","U+8001","로","노",,,,,,
"耂","U+8002","로","노",,,,,,
"考","U+8003","고",,,,,,,
"耄","U+8004","모",,,,,,,
"者","U+8005","자",,,,,,,
"耆","U+8006","기",,,,,,,
"耇","U+8007","구",,,,,,,
"耈","U+8008","구",,,,,,,
"耉","U+8009","구",,,,,,,
"耊","U+800A","질",,,,,,,
"耋","U+800B","질",,,,,,,
"而","U+800C","이",,,,,,,
"耍","U+800D","사",,,,,,,
"耎","U+800E","연",,,,,,,
"耏","U+800F","내","이",,,,,,
"耐","U+8010","내",,,,,,,
"耑","U+8011","단",,,,,,,
"耒","U+8012","뢰","뇌",,,,,,
"耓","U+8013","정",,,,,,,
"耔","U+8014","자",,,,,,,
"耕","U+8015","경",,,,,,,
"耖","U+8016","초",,,,,,,
"耗","U+8017","모",,,,,,,
"耘","U+8018","운",,,,,,,
"耙","U+8019","파",,,,,,,
"耚","U+801A","피",,,,,,,
"耛","U+801B","치",,,,,,,
"耜","U+801C","사",,,,,,,
"耝","U+801D","처",,,,,,,
"耞","U+801E","가",,,,,,,
"耟","U+801F","거",,,,,,,
"耠","U+8020","합",,,,,,,
"耡","U+8021","조","저","서",,,,,
"耢","U+8022","로","노",,,,,,
"耣","U+8023","륜","윤",,,,,,
"耤","U+8024","적",,,,,,,
"耥","U+8025","상",,,,,,,
"耦","U+8026","우",,,,,,,
"耧","U+8027","루","누",,,,,,
"耨","U+8028","누",,,,,,,
"耩","U+8029","강",,,,,,,
"耪","U+802A","방",,,,,,,
"耫","U+802B","책",,,,,,,
"耬","U+802C","루","누",,,,,,
"耭","U+802D","기",,,,,,,
"耮","U+802E","로","노",,,,,,
"耯","U+802F","확",,,,,,,
"耰","U+8030","우",,,,,,,
"耱","U+8031","마",,,,,,,
"耲","U+8032","회",,,,,,,
"耳","U+8033","이",,,,,,,
"耴","U+8034","첩",,,,,,,
"耵","U+8035","정",,,,,,,
"耶","U+8036","야",,,,,,,
"耷","U+8037","탑",,,,,,,
"耸","U+8038","용",,,,,,,
"耹","U+8039","금",,,,,,,
"耺","U+803A","운",,,,,,,
"耻","U+803B","치",,,,,,,
"耼","U+803C","담",,,,,,,
"耽","U+803D","탐",,,,,,,
"耾","U+803E","굉",,,,,,,
"耿","U+803F","경",,,,,,,
"聀","U+8040","직",,,,,,,
"聁","U+8041","분",,,,,,,
"聂","U+8042","섭",,,,,,,
"聃","U+8043","담",,,,,,,
"聄","U+8044","진",,,,,,,
"聅","U+8045","철",,,,,,,
"聆","U+8046","령","양",,,,,,
"聇","U+8047","정",,,,,,,
"聈","U+8048","유",,,,,,,
"聉","U+8049","달","왈","퇴",,,,,
"聊","U+804A","료","요",,,,,,
"聋","U+804B","롱","농",,,,,,
"职","U+804C","직",,,,,,,
"聍","U+804D","녕","영",,,,,,
"聎","U+804E","조",,,,,,,
"聏","U+804F","뉵","육","이",,,,,
"聐","U+8050","알",,,,,,,
"聑","U+8051","접",,,,,,,
"聒","U+8052","괄",,,,,,,
"聓","U+8053","서",,,,,,,
"联","U+8054","련","연",,,,,,
"聕","U+8055","호",,,,,,,
"聖","U+8056","성",,,,,,,
"聗","U+8057","렵","엽",,,,,,
"聘","U+8058","빙",,,,,,,
"聙","U+8059","정",,,,,,,
"聚","U+805A","취",,,,,,,
"聛","U+805B","비",,,,,,,
"聜","U+805C","저",,,,,,,
"聝","U+805D","괵",,,,,,,
"聞","U+805E","문",,,,,,,
"聟","U+805F","서",,,,,,,
"聠","U+8060","병",,,,,,,
"聡","U+8061","총",,,,,,,
"聢","U+8062","정",,,,,,,
"聣","U+8063","아",,,,,,,
"聤","U+8064","질",,,,,,,
"聥","U+8065","구",,,,,,,
"聦","U+8066","총",,,,,,,
"聧","U+8067","규",,,,,,,
"聨","U+8068","련","연",,,,,,
"聩","U+8069","외",,,,,,,
"聪","U+806A","총",,,,,,,
"聫","U+806B","련","연",,,,,,
"聬","U+806C","옹",,,,,,,
"聭","U+806D","귀",,,,,,,
"聮","U+806E","련","연",,,,,,
"聯","U+806F","련","연",,,,,,
"聰","U+8070","총",,,,,,,
"聱","U+8071","오",,,,,,,
"聲","U+8072","성",,,,,,,
"聳","U+8073","용",,,,,,,
"聴","U+8074","청",,,,,,,
"聵","U+8075","외",,,,,,,
"聶","U+8076","섭",,,,,,,
"職","U+8077","직",,,,,,,
"聸","U+8078","담",,,,,,,
"聹","U+8079","녕","영",,,,,,
"聺","U+807A","철",,,,,,,
"聻","U+807B","니","이","적",,,,,
"聼","U+807C","청",,,,,,,
"聽","U+807D","청",,,,,,,
"聾","U+807E","롱","농",,,,,,
"聿","U+807F","율",,,,,,,
"肀","U+8080","율",,,,,,,
"肁","U+8081","조",,,,,,,
"肂","U+8082","사",,,,,,,
"肃","U+8083","숙",,,,,,,
"肄","U+8084","이",,,,,,,
"肅","U+8085","숙",,,,,,,
"肆","U+8086","사",,,,,,,
"肇","U+8087","조",,,,,,,
"肈","U+8088","조",,,,,,,
"肉","U+8089","육",,,,,,,
"肊","U+808A","억",,,,,,,
"肋","U+808B","륵","늑",,,,,,
"肌","U+808C","기",,,,,,,
"肍","U+808D","구",,,,,,,
"肎","U+808E","긍",,,,,,,
"肏","U+808F","조",,,,,,,
"肐","U+8090","흘",,,,,,,
"肑","U+8091","적",,,,,,,
"肒","U+8092","환",,,,,,,
"肓","U+8093","황",,,,,,,
"肔","U+8094","이",,,,,,,
"肕","U+8095","인",,,,,,,
"肖","U+8096","초",,,,,,,
"肗","U+8097","여",,,,,,,
"肘","U+8098","주",,,,,,,
"肙","U+8099","연",,,,,,,
"肚","U+809A","두",,,,,,,
"肛","U+809B","항",,,,,,,
"肜","U+809C","융",,,,,,,
"肝","U+809D","간",,,,,,,
"肞","U+809E","차",,,,,,,
"肟","U+809F","우",,,,,,,
"肠","U+80A0","장",,,,,,,
"股","U+80A1","고",,,,,,,
"肢","U+80A2","지",,,,,,,
"肣","U+80A3","금","함",,,,,,
"肤","U+80A4","부",,,,,,,
"肥","U+80A5","비",,,,,,,
"肦","U+80A6","분",,,,,,,
"肧","U+80A7","배",,,,,,,
"肨","U+80A8","방",,,,,,,
"肩","U+80A9","견",,,,,,,
"肪","U+80AA","방",,,,,,,
"肫","U+80AB","순",,,,,,,
"肬","U+80AC","우",,,,,,,
"肭","U+80AD","눌",,,,,,,
"肮","U+80AE","항",,,,,,,
"肯","U+80AF","긍",,,,,,,
"肰","U+80B0","연",,,,,,,
"肱","U+80B1","굉",,,,,,,
"育","U+80B2","육",,,,,,,
"肳","U+80B3","문",,,,,,,
"肴","U+80B4","효",,,,,,,
"肵","U+80B5","근","기",,,,,,
"肶","U+80B6","비",,,,,,,
"肷","U+80B7","월",,,,,,,
"肸","U+80B8","힐",,,,,,,
"肹","U+80B9","힐",,,,,,,
"肺","U+80BA","폐",,,,,,,
"肻","U+80BB","긍",,,,,,,
"肼","U+80BC","정",,,,,,,
"肽","U+80BD","태",,,,,,,
"肾","U+80BE","신",,,,,,,
"肿","U+80BF","종",,,,,,,
"胀","U+80C0","창",,,,,,,
"胁","U+80C1","협",,,,,,,
"胂","U+80C2","신",,,,,,,
"胃","U+80C3","위",,,,,,,
"胄","U+80C4","주",,,,,,,
"胅","U+80C5","질",,,,,,,
"胆","U+80C6","단","담",,,,,,
"胇","U+80C7","필",,,,,,,
"胈","U+80C8","발",,,,,,,
"胉","U+80C9","박",,,,,,,
"胊","U+80CA","구",,,,,,,
"胋","U+80CB","첨",,,,,,,
"背","U+80CC","배",,,,,,,
"胍","U+80CD","고",,,,,,,
"胎","U+80CE","태",,,,,,,
"胏","U+80CF","자",,,,,,,
"胐","U+80D0","굴",,,,,,,
"胑","U+80D1","지",,,,,,,
"胒","U+80D2","니","이",,,,,,
"胓","U+80D3","평",,,,,,,
"胔","U+80D4","자",,,,,,,
"胕","U+80D5","부",,,,,,,
"胖","U+80D6","반",,,,,,,
"胗","U+80D7","진",,,,,,,
"胘","U+80D8","현",,,,,,,
"胙","U+80D9","조",,,,,,,
"胚","U+80DA","배",,,,,,,
"胛","U+80DB","갑",,,,,,,
"胜","U+80DC","성",,,,,,,
"胝","U+80DD","지",,,,,,,
"胞","U+80DE","포",,,,,,,
"胟","U+80DF","무",,,,,,,
"胠","U+80E0","거",,,,,,,
"胡","U+80E1","호",,,,,,,
"胢","U+80E2","가",,,,,,,
"胣","U+80E3","이",,,,,,,
"胤","U+80E4","윤",,,,,,,
"胥","U+80E5","서",,,,,,,
"胦","U+80E6","앙",,,,,,,
"胧","U+80E7","롱","농",,,,,,
"胨","U+80E8","동",,,,,,,
"胩","U+80E9","가",,,,,,,
"胪","U+80EA","려","여",,,,,,
"胫","U+80EB","경",,,,,,,
"胬","U+80EC","노",,,,,,,
"胭","U+80ED","연",,,,,,,
"胮","U+80EE","방",,,,,,,
"胯","U+80EF","고","과",,,,,,
"胰","U+80F0","이",,,,,,,
"胱","U+80F1","광",,,,,,,
"胲","U+80F2","해",,,,,,,
"胳","U+80F3","각",,,,,,,
"胴","U+80F4","동",,,,,,,
"胵","U+80F5","치",,,,,,,
"胶","U+80F6","효",,,,,,,
"胷","U+80F7","흉",,,,,,,
"胸","U+80F8","흉",,,,,,,
"胹","U+80F9","이",,,,,,,
"胺","U+80FA","알",,,,,,,
"胻","U+80FB","행",,,,,,,
"胼","U+80FC","변",,,,,,,
"能","U+80FD","능",,,,,,,
"胾","U+80FE","자",,,,,,,
"胿","U+80FF","규",,,,,,,
"脀","U+8100","승","증",,,,,,
"脁","U+8101","조",,,,,,,
"脂","U+8102","지",,,,,,,
"脃","U+8103","취",,,,,,,
"脄","U+8104","매",,,,,,,
"脅","U+8105","협",,,,,,,
"脆","U+8106","취",,,,,,,
"脇","U+8107","협",,,,,,,
"脈","U+8108","맥",,,,,,,
"脉","U+8109","맥",,,,,,,
"脊","U+810A","척",,,,,,,
"脋","U+810B","협",,,,,,,
"脌","U+810C","년","연",,,,,,
"脍","U+810D","회",,,,,,,
"脎","U+810E","살",,,,,,,
"脏","U+810F","장",,,,,,,
"脐","U+8110","제",,,,,,,
"脑","U+8111","뇌",,,,,,,
"脒","U+8112","미",,,,,,,
"脓","U+8113","농",,,,,,,
"脔","U+8114","련","연",,,,,,
"脕","U+8115","문","만",,,,,,
"脖","U+8116","발",,,,,,,
"脗","U+8117","문","민",,,,,,
"脘","U+8118","완",,,,,,,
"脙","U+8119","구",,,,,,,
"脚","U+811A","각",,,,,,,
"脛","U+811B","경",,,,,,,
"脜","U+811C","유",,,,,,,
"脝","U+811D","형",,,,,,,
"脞","U+811E","좌",,,,,,,
"脟","U+811F","렬","열",,,,,,
"脠","U+8120","전",,,,,,,
"脡","U+8121","정",,,,,,,
"脢","U+8122","매",,,,,,,
"脣","U+8123","순",,,,,,,
"脤","U+8124","신",,,,,,,
"脥","U+8125","협",,,,,,,
"脦","U+8126","특",,,,,,,
"脧","U+8127","최",,,,,,,
"脨","U+8128","촉",,,,,,,
"脩","U+8129","수",,,,,,,
"脪","U+812A","흔",,,,,,,
"脫","U+812B","탈","열",,,,,,
"脬","U+812C","포",,,,,,,
"脭","U+812D","정",,,,,,,
"脮","U+812E","퇴",,,,,,,
"脯","U+812F","포",,,,,,,
"脰","U+8130","두",,,,,,,
"脱","U+8131","탈",,,,,,,
"脲","U+8132","뇨","요",,,,,,
"脳","U+8133","뇌",,,,,,,
"脴","U+8134","비",,,,,,,
"脵","U+8135","오",,,,,,,
"脶","U+8136","라","나",,,,,,
"脷","U+8137","리","이",,,,,,
"脸","U+8138","검",,,,,,,
"脹","U+8139","창",,,,,,,
"脺","U+813A","수","졸",,,,,,
"脻","U+813B","접",,,,,,,
"脼","U+813C","량","양",,,,,,
"脽","U+813D","수",,,,,,,
"脾","U+813E","비",,,,,,,
"脿","U+813F","표",,,,,,,
"腀","U+8140","륜","윤",,,,,,
"腁","U+8141","변",,,,,,,
"腂","U+8142","과",,,,,,,
"腃","U+8143","귀","권",,,,,,
"腄","U+8144","수",,,,,,,
"腅","U+8145","담",,,,,,,
"腆","U+8146","전",,,,,,,
"腇","U+8147","뇌",,,,,,,
"腈","U+8148","정",,,,,,,
"腉","U+8149","개",,,,,,,
"腊","U+814A","석",,,,,,,
"腋","U+814B","액",,,,,,,
"腌","U+814C","업",,,,,,,
"腍","U+814D","임",,,,,,,
"腎","U+814E","신",,,,,,,
"腏","U+814F","철","체",,,,,,
"腐","U+8150","부",,,,,,,
"腑","U+8151","부",,,,,,,
"腒","U+8152","거",,,,,,,
"腓","U+8153","비",,,,,,,
"腔","U+8154","강",,,,,,,
"腕","U+8155","완",,,,,,,
"腖","U+8156","동",,,,,,,
"腗","U+8157","비",,,,,,,
"腘","U+8158","객",,,,,,,
"腙","U+8159","종",,,,,,,
"腚","U+815A","정",,,,,,,
"腛","U+815B","악",,,,,,,
"腜","U+815C","매",,,,,,,
"腝","U+815D","이",,,,,,,
"腞","U+815E","전",,,,,,,
"腟","U+815F","질",,,,,,,
"腠","U+8160","주",,,,,,,
"腡","U+8161","라","나",,,,,,
"腢","U+8162","우",,,,,,,
"腣","U+8163","제",,,,,,,
"腤","U+8164","암",,,,,,,
"腥","U+8165","성",,,,,,,
"腦","U+8166","뇌",,,,,,,
"腧","U+8167","수",,,,,,,
"腨","U+8168","천",,,,,,,
"腩","U+8169","남",,,,,,,
"腪","U+816A","운",,,,,,,
"腫","U+816B","종",,,,,,,
"腬","U+816C","유",,,,,,,
"腭","U+816D","악",,,,,,,
"腮","U+816E","시",,,,,,,
"腯","U+816F","돌",,,,,,,
"腰","U+8170","요",,,,,,,
"腱","U+8171","건",,,,,,,
"腲","U+8172","외",,,,,,,
"腳","U+8173","각",,,,,,,
"腴","U+8174","유",,,,,,,
"腵","U+8175","가",,,,,,,
"腶","U+8176","단",,,,,,,
"腷","U+8177","픽",,,,,,,
"腸","U+8178","장",,,,,,,
"腹","U+8179","복",,,,,,,
"腺","U+817A","선",,,,,,,
"腻","U+817B","니","이",,,,,,
"腼","U+817C","면",,,,,,,
"腽","U+817D","올",,,,,,,
"腾","U+817E","등",,,,,,,
"腿","U+817F","퇴",,,,,,,
"膀","U+8180","방",,,,,,,
"膁","U+8181","겸",,,,,,,
"膂","U+8182","려","여",,,,,,
"膃","U+8183","올",,,,,,,
"膄","U+8184","수",,,,,,,
"膅","U+8185","당",,,,,,,
"膆","U+8186","소",,,,,,,
"膇","U+8187","추",,,,,,,
"膈","U+8188","격",,,,,,,
"膉","U+8189","익",,,,,,,
"膊","U+818A","박",,,,,,,
"膋","U+818B","료","요",,,,,,
"膌","U+818C","척",,,,,,,
"膍","U+818D","비",,,,,,,
"膎","U+818E","해",,,,,,,
"膏","U+818F","고",,,,,,,
"膐","U+8190","려","여",,,,,,
"膑","U+8191","빈",,,,,,,
"膒","U+8192","구",,,,,,,
"膓","U+8193","장",,,,,,,
"膔","U+8194","록","녹",,,,,,
"膕","U+8195","괵",,,,,,,
"膖","U+8196","방",,,,,,,
"膗","U+8197","최",,,,,,,
"膘","U+8198","표",,,,,,,
"膙","U+8199","강",,,,,,,
"膚","U+819A","부",,,,,,,
"膛","U+819B","당",,,,,,,
"膜","U+819C","막",,,,,,,
"膝","U+819D","슬",,,,,,,
"膞","U+819E","전",,,,,,,
"膟","U+819F","률","율",,,,,,
"膠","U+81A0","교",,,,,,,
"膡","U+81A1","등",,,,,,,
"膢","U+81A2","루","누",,,,,,
"膣","U+81A3","질",,,,,,,
"膤","U+81A4","설",,,,,,,
"膥","U+81A5","촌",,,,,,,
"膦","U+81A6","련","연",,,,,,
"膧","U+81A7","동",,,,,,,
"膨","U+81A8","팽",,,,,,,
"膩","U+81A9","니","이",,,,,,
"膪","U+81AA","차",,,,,,,
"膫","U+81AB","료","요",,,,,,
"膬","U+81AC","취",,,,,,,
"膭","U+81AD","괴",,,,,,,
"膮","U+81AE","효",,,,,,,
"膯","U+81AF","등",,,,,,,
"膰","U+81B0","번",,,,,,,
"膱","U+81B1","직",,,,,,,
"膲","U+81B2","초",,,,,,,
"膳","U+81B3","선",,,,,,,
"膴","U+81B4","무",,,,,,,
"膵","U+81B5","췌",,,,,,,
"膶","U+81B6","윤",,,,,,,
"膷","U+81B7","향",,,,,,,
"膸","U+81B8","수",,,,,,,
"膹","U+81B9","분",,,,,,,
"膺","U+81BA","응",,,,,,,
"膻","U+81BB","단","전",,,,,,
"膼","U+81BC","과",,,,,,,
"膽","U+81BD","담",,,,,,,
"膾","U+81BE","회",,,,,,,
"膿","U+81BF","농",,,,,,,
"臀","U+81C0","둔",,,,,,,
"臁","U+81C1","렴","염",,,,,,
"臂","U+81C2","비",,,,,,,
"臃","U+81C3","옹",,,,,,,
"臄","U+81C4","갹",,,,,,,
"臅","U+81C5","촉",,,,,,,
"臆","U+81C6","억",,,,,,,
"臇","U+81C7","전",,,,,,,
"臈","U+81C8","랍","납",,,,,,
"臉","U+81C9","검",,,,,,,
"臊","U+81CA","조",,,,,,,
"臋","U+81CB","둔",,,,,,,
"臌","U+81CC","고",,,,,,,
"臍","U+81CD","제",,,,,,,
"臎","U+81CE","취",,,,,,,
"臏","U+81CF","빈",,,,,,,
"臐","U+81D0","훈",,,,,,,
"臑","U+81D1","노",,,,,,,
"臒","U+81D2","확",,,,,,,
"臓","U+81D3","장",,,,,,,
"臔","U+81D4","현",,,,,,,
"臕","U+81D5","표",,,,,,,
"臖","U+81D6","흥",,,,,,,
"臗","U+81D7","곤",,,,,,,
"臘","U+81D8","랍","납",,,,,,
"臙","U+81D9","연",,,,,,,
"臚","U+81DA","려","여",,,,,,
"臛","U+81DB","확",,,,,,,
"臜","U+81DC","잠",,,,,,,
"臝","U+81DD","라","나",,,,,,
"臞","U+81DE","구",,,,,,,
"臟","U+81DF","장",,,,,,,
"臠","U+81E0","련","연",,,,,,
"臡","U+81E1","니","이",,,,,,
"臢","U+81E2","잠",,,,,,,
"臣","U+81E3","신",,,,,,,
"臤","U+81E4","간","견",,,,,,
"臥","U+81E5","와",,,,,,,
"臦","U+81E6","광",,,,,,,
"臧","U+81E7","장",,,,,,,
"臨","U+81E8","림","임",,,,,,
"臩","U+81E9","광",,,,,,,
"自","U+81EA","자",,,,,,,
"臫","U+81EB","교",,,,,,,
"臬","U+81EC","얼",,,,,,,
"臭","U+81ED","취",,,,,,,
"臮","U+81EE","기",,,,,,,
"臯","U+81EF","고",,,,,,,
"臰","U+81F0","취",,,,,,,
"臱","U+81F1","면",,,,,,,
"臲","U+81F2","얼",,,,,,,
"至","U+81F3","지",,,,,,,
"致","U+81F4","치",,,,,,,
"臵","U+81F5","객",,,,,,,
"臶","U+81F6","천",,,,,,,
"臷","U+81F7","질",,,,,,,
"臸","U+81F8","진",,,,,,,
"臹","U+81F9","수",,,,,,,
"臺","U+81FA","대",,,,,,,
"臻","U+81FB","진",,,,,,,
"臼","U+81FC","구",,,,,,,
"臽","U+81FD","함",,,,,,,
"臾","U+81FE","유",,,,,,,
"臿","U+81FF","삽",,,,,,,
"舀","U+8200","요",,,,,,,
"舁","U+8201","여",,,,,,,
"舂","U+8202","용",,,,,,,
"舃","U+8203","석",,,,,,,
"舄","U+8204","석",,,,,,,
"舅","U+8205","구",,,,,,,
"舆","U+8206","여",,,,,,,
"與","U+8207","여",,,,,,,
"興","U+8208","흥",,,,,,,
"舉","U+8209","거",,,,,,,
"舊","U+820A","구",,,,,,,
"舋","U+820B","흔",,,,,,,
"舌","U+820C","설",,,,,,,
"舍","U+820D","사",,,,,,,
"舎","U+820E","사",,,,,,,
"舏","U+820F","구",,,,,,,
"舐","U+8210","지",,,,,,,
"舑","U+8211","담",,,,,,,
"舒","U+8212","서",,,,,,,
"舓","U+8213","지",,,,,,,
"舔","U+8214","첨",,,,,,,
"舕","U+8215","담",,,,,,,
"舖","U+8216","포",,,,,,,
"舗","U+8217","포",,,,,,,
"舘","U+8218","관",,,,,,,
"舙","U+8219","화",,,,,,,
"舚","U+821A","첨",,,,,,,
"舛","U+821B","천",,,,,,,
"舜","U+821C","순",,,,,,,
"舝","U+821D","할",,,,,,,
"舞","U+821E","무",,,,,,,
"舟","U+821F","주",,,,,,,
"舠","U+8220","도",,,,,,,
"舡","U+8221","강",,,,,,,
"舢","U+8222","산",,,,,,,
"舣","U+8223","의",,,,,,,
"舤","U+8224","범",,,,,,,
"舥","U+8225","파",,,,,,,
"舦","U+8226","태",,,,,,,
"舧","U+8227","범",,,,,,,
"舨","U+8228","판",,,,,,,
"舩","U+8229","선",,,,,,,
"航","U+822A","항",,,,,,,
"舫","U+822B","방",,,,,,,
"般","U+822C","반",,,,,,,
"舭","U+822D","비",,,,,,,
"舮","U+822E","로","노",,,,,,
"舯","U+822F","중",,,,,,,
"舰","U+8230","함",,,,,,,
"舱","U+8231","창",,,,,,,
"舲","U+8232","령","영",,,,,,
"舳","U+8233","축",,,,,,,
"舴","U+8234","책",,,,,,,
"舵","U+8235","타",,,,,,,
"舶","U+8236","박",,,,,,,
"舷","U+8237","현",,,,,,,
"舸","U+8238","가",,,,,,,
"船","U+8239","선",,,,,,,
"舺","U+823A","갑",,,,,,,
"舻","U+823B","로","노",,,,,,
"舼","U+823C","공",,,,,,,
"舽","U+823D","방",,,,,,,
"舾","U+823E","서",,,,,,,
"舿","U+823F","과",,,,,,,
"艀","U+8240","부",,,,,,,
"艁","U+8241","조",,,,,,,
"艂","U+8242","봉",,,,,,,
"艃","U+8243","리","이",,,,,,
"艄","U+8244","소",,,,,,,
"艅","U+8245","여",,,,,,,
"艆","U+8246","랑","낭",,,,,,
"艇","U+8247","정",,,,,,,
"艈","U+8248","류","유",,,,,,
"艉","U+8249","미",,,,,,,
"艊","U+824A","박",,,,,,,
"艋","U+824B","맹",,,,,,,
"艌","U+824C","념","염",,,,,,
"艍","U+824D","거",,,,,,,
"艎","U+824E","황",,,,,,,
"艏","U+824F","수",,,,,,,
"艐","U+8250","종",,,,,,,
"艑","U+8251","편",,,,,,,
"艒","U+8252","목","모",,,,,,
"艓","U+8253","접",,,,,,,
"艔","U+8254","도",,,,,,,
"艕","U+8255","방",,,,,,,
"艖","U+8256","차",,,,,,,
"艗","U+8257","익",,,,,,,
"艘","U+8258","소",,,,,,,
"艙","U+8259","창",,,,,,,
"艚","U+825A","조",,,,,,,
"艛","U+825B","루","누",,,,,,
"艜","U+825C","대",,,,,,,
"艝","U+825D","설",,,,,,,
"艞","U+825E","요",,,,,,,
"艟","U+825F","동",,,,,,,
"艠","U+8260","등",,,,,,,
"艡","U+8261","당",,,,,,,
"艢","U+8262","장",,,,,,,
"艣","U+8263","로","노",,,,,,
"艤","U+8264","의",,,,,,,
"艥","U+8265","즙",,,,,,,
"艦","U+8266","함",,,,,,,
"艧","U+8267","확",,,,,,,
"艨","U+8268","몽",,,,,,,
"艩","U+8269","제",,,,,,,
"艪","U+826A","로","노",,,,,,
"艫","U+826B","로","노",,,,,,
"艬","U+826C","참",,,,,,,
"艭","U+826D","쌍",,,,,,,
"艮","U+826E","간",,,,,,,
"良","U+826F","량","양",,,,,,
"艰","U+8270","간",,,,,,,
"艱","U+8271","간",,,,,,,
"色","U+8272","색",,,,,,,
"艳","U+8273","염",,,,,,,
"艴","U+8274","불",,,,,,,
"艵","U+8275","병",,,,,,,
"艶","U+8276","염",,,,,,,
"艷","U+8277","염",,,,,,,
"艸","U+8278","초",,,,,,,
"艹","U+8279","초",,,,,,,
"艺","U+827A","예",,,,,,,
"艻","U+827B","륵","늑",,,,,,
"艼","U+827C","정",,,,,,,
"艽","U+827D","구",,,,,,,
"艾","U+827E","애",,,,,,,
"艿","U+827F","잉",,,,,,,
"芀","U+8280","초",,,,,,,
"芁","U+8281","규",,,,,,,
"节","U+8282","절",,,,,,,
"芃","U+8283","봉",,,,,,,
"芄","U+8284","환",,,,,,,
"芅","U+8285","익",,,,,,,
"芆","U+8286","차",,,,,,,
"芇","U+8287","면",,,,,,,
"芈","U+8288","미",,,,,,,
"芉","U+8289","간",,,,,,,
"芊","U+828A","천",,,,,,,
"芋","U+828B","우",,,,,,,
"芌","U+828C","우",,,,,,,
"芍","U+828D","작",,,,,,,
"芎","U+828E","궁",,,,,,,
"芏","U+828F","토",,,,,,,
"芐","U+8290","하",,,,,,,
"芑","U+8291","기",,,,,,,
"芒","U+8292","망",,,,,,,
"芓","U+8293","자",,,,,,,
"芔","U+8294","훼",,,,,,,
"芕","U+8295","유",,,,,,,
"芖","U+8296","치",,,,,,,
"芗","U+8297","향",,,,,,,
"芘","U+8298","비",,,,,,,
"芙","U+8299","부",,,,,,,
"芚","U+829A","둔",,,,,,,
"芛","U+829B","순",,,,,,,
"芜","U+829C","무",,,,,,,
"芝","U+829D","지",,,,,,,
"芞","U+829E","걸",,,,,,,
"芟","U+829F","삼",,,,,,,
"芠","U+82A0","문",,,,,,,
"芡","U+82A1","검",,,,,,,
"芢","U+82A2","인",,,,,,,
"芣","U+82A3","부",,,,,,,
"芤","U+82A4","규",,,,,,,
"芥","U+82A5","개",,,,,,,
"芦","U+82A6","호",,,,,,,
"芧","U+82A7","저","서",,,,,,
"芨","U+82A8","급",,,,,,,
"芩","U+82A9","금",,,,,,,
"芪","U+82AA","기",,,,,,,
"芫","U+82AB","원",,,,,,,
"芬","U+82AC","분",,,,,,,
"芭","U+82AD","파",,,,,,,
"芮","U+82AE","예",,,,,,,
"芯","U+82AF","심",,,,,,,
"芰","U+82B0","기",,,,,,,
"花","U+82B1","화",,,,,,,
"芲","U+82B2","화",,,,,,,
"芳","U+82B3","방",,,,,,,
"芴","U+82B4","물","홀",,,,,,
"芵","U+82B5","결",,,,,,,
"芶","U+82B6","구",,,,,,,
"芷","U+82B7","지",,,,,,,
"芸","U+82B8","운","예",,,,,,
"芹","U+82B9","근",,,,,,,
"芺","U+82BA","요",,,,,,,
"芻","U+82BB","추",,,,,,,
"芼","U+82BC","모",,,,,,,
"芽","U+82BD","아",,,,,,,
"芾","U+82BE","비","패","불",,,,,
"芿","U+82BF","잉",,,,,,,
"苀","U+82C0","항",,,,,,,
"苁","U+82C1","종",,,,,,,
"苂","U+82C2","음",,,,,,,
"苃","U+82C3","우",,,,,,,
"苄","U+82C4","변",,,,,,,
"苅","U+82C5","예",,,,,,,
"苆","U+82C6","절",,,,,,,
"苇","U+82C7","위",,,,,,,
"苈","U+82C8","력","역",,,,,,
"苉","U+82C9","필",,,,,,,
"苊","U+82CA","액",,,,,,,
